Name;CAD 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;JPY 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;EUR 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;US DOLLAR 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;AUD 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;NOK 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;SEK 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;NZD 1M DEPOSIT (FT/LSEG DS) - MIDDLE RATE;SWISS FRANC 1M DEPO (FT/LSEG DS) - MIDDLE RATE;UK STERLING 1M DEPO (FT/LSEG DS) - MIDDLE RATE
Code;ECCAD1M;ECJAP1M;ECEUR1M;ECUSD1M;ECAUD1M;ECNOR1M;ECSWE1M;ECNZD1M;ECSWF1M;ECUKP1M
31.12.2010;1.075;0.2;0.81;0.425;4.8;2.325;1.5;3.125;0.145;0.55
03.01.2011;1.075;0.28;0.81;0.3;4.8;2.295;1.525;3.27;0.135;0.55
04.01.2011;1.075;0.22;0.82;0.6;5.04;2.285;1.51;3.27;0.135;0.55
05.01.2011;1.24;0.27;0.82;0.3;5.02;2.28;1.5;3.395;0.15;0.58
06.01.2011;1.27;0.27;0.82;0.3;5;2.195;1.5;3.125;0.145;0.65
07.01.2011;1.125;0.18;0.82;0.4;5.03;2.205;1.5;3.125;0.145;0.495
10.01.2011;1.3;0.225;0.74;0.3;5.15;2.26;1.5;3.15;0.31;0.66
11.01.2011;1.26;0.17;0.74;0.3;5.05;2.265;1.5;3.27;0.23;0.65
12.01.2011;1.075;0.21;0.77;0.3;5.03;2.25;1.5;3.27;0.135;0.825
13.01.2011;1.2;0.22;0.77;0.3;4.99;2.25;1.51;3.11;0.33;0.55
14.01.2011;1.19;0.18;0.77;0.3;4.98;2.23;1.51;3.325;0.18;0.695
17.01.2011;1.21;0.23;0.73;0.3;4.99;2.205;1.475;3.27;0.135;0.635
18.01.2011;1.075;0.2;0.74;0.3;4.9;2.21;1.475;3.27;0.135;0.69
19.01.2011;1.075;0.23;0.8;0.3;4.9;2.18;1.475;3.27;0.135;0.675
20.01.2011;1.06;0.19;0.8;0.28;4.91;2.195;1.54;3.35;0.3;0.685
21.01.2011;1.15;0.16;0.78;0.41;4.96;2.18;1.555;3.27;0.155;0.685
24.01.2011;1.16;0.195;0.88;0.28;4.97;2.19;1.56;3.265;0.15;0.685
25.01.2011;1;0.17;0.83;0.46;5.03;2.21;1.475;3.27;0.135;0.65
26.01.2011;1.12;0.15;0.87;0.28;4.88;2.13;1.7;3.35;0.17;0.695
27.01.2011;1.14;0.17;0.88;0.3;4.86;2.14;1.585;3.225;0.21;0.695
28.01.2011;1.15;0.17;0.89;0.32;4.84;2.12;1.58;3.245;0.165;0.695
31.01.2011;1.075;0.19;0.95;0.3;4.9;2.14;1.475;3.27;0.135;0.79
01.02.2011;1.075;0.16;0.91;0.45;4.9;2.185;1.475;3.27;0.135;0.695
02.02.2011;1.2;0.2;0.91;0.4;4.93;2.21;1.77;3.09;0.12;0.685
03.02.2011;1.23;0.24;0.92;0.3;4.94;2.21;1.695;3.27;0.18;0.785
04.02.2011;1.075;0.22;0.84;0.3;4.9;2.205;1.475;3.27;0.135;0.695
07.02.2011;1.31;0.24;0.95;0.28;5;2.23;1.85;3.08;0.18;0.81
08.02.2011;1.21;0.24;0.85;0.395;4.92;2.25;1.89;3.225;0.33;0.81
09.02.2011;1.2;0.24;0.83;0.28;4.92;2.26;1.71;3.205;0.14;0.695
10.02.2011;1.25;0.16;0.88;0.39;4.98;2.23;1.89;3.335;0.115;0.675
11.02.2011;1.125;0.17;0.85;0.35;4.99;2.25;1.79;3.225;0.105;0.685
14.02.2011;1.27;0.24;0.85;0.28;4.99;2.28;1.89;3.32;0.235;0.695
15.02.2011;1.075;0.2;0.83;0.28;4.98;2.29;1.9;3.27;0.135;0.65
16.02.2011;1.24;0.265;0.94;0.28;4.96;2.325;1.85;3.08;0.105;0.635
