Name;JP CPI: NATIONAL MEASURE SADJ;US CPI - ALL URBAN: ALL ITEMS SADJ;SW CPI (2020M12=100) NADJ;NW CPI NADJ;SD CPI NADJ;CN CPI NADJ;NZ CPI (STANDARDIZED) SADJ;AU CPI (STANDARDIZED) SADJ;EK HICP EX-TOBACCO REVISED (INITIAL) NADJ;UK RPI: ALL ITEMS RETAIL PRICES INDEX NADJ
Code;JPCONPRCE;USCONPRCE;SWCONPRCF;NWCONPRCF;SDCONPRCF;CNCONPRCF;NZCCPI..E;AUCCPI..E;EKXTBIA.F;UKCHAW..
15.12.2010;94.6;220.472;101.89;93.3;308.73;117.5;102.387;100.959;110.9;228.4
15.01.2011;94.5;221.187;101.54;92.7;306.15;117.8;102.638;101.389;110.1;229
15.02.2011;94.5;221.898;101.92;93.1;308.02;118.1;102.916;101.868;110.6;231.3
15.03.2011;94.5;223.046;102.56;93.4;310.11;119.4;103.192;102.347;112.1;232.5
15.04.2011;94.5;224.093;102.67;93.9;311.44;119.8;103.539;102.664;112.8;234.4
15.05.2011;94.5;224.806;102.68;93.7;312.02;120.6;103.889;102.986;112.7;235.2
15.06.2011;94.6;224.806;102.43;93.4;311.28;119.8;104.244;103.316;112.8;235.2
15.07.2011;94.7;225.395;101.59;93.1;311.13;120;104.294;103.408;112;234.7
15.08.2011;94.7;226.106;101.29;92.6;311.23;120.3;104.346;103.503;112.2;236.1
15.09.2011;94.6;226.597;101.57;93.4;313.41;120.6;104.399;103.602;113.1;237.9
15.10.2011;94.6;226.75;101.5;93.3;313.42;120.8;104.339;103.695;113.4;238
15.11.2011;94.4;227.169;101.32;93.3;314.16;120.9;104.278;103.789;113.5;238.5
15.12.2011;94.4;227.223;101.16;93.4;314.78;120.2;104.215;103.884;113.9;239.4
15.01.2012;94.7;227.842;100.73;93.2;311.85;120.7;104.413;103.945;113;238
15.02.2012;94.8;228.329;101.02;94.2;313.92;121.2;104.59;103.964;113.5;239.9
15.03.2012;95;228.807;101.58;94.1;314.8;121.7;104.761;103.98;115;240.8
15.04.2012;94.9;229.187;101.66;94.2;315.49;122.2;104.906;104.17;115.6;242.5
15.05.2012;94.7;228.713;101.64;94.2;315.23;122.1;105.052;104.357;115.4;242.4
15.06.2012;94.4;228.524;101.35;93.7;314.45;121.6;105.198;104.543;115.3;241.8
15.07.2012;94.3;228.59;100.86;93.3;313.23;121.5;105.233;104.936;114.6;242.1
15.08.2012;94.3;229.918;100.83;92.9;313.55;121.8;105.264;105.325;115.1;243
15.09.2012;94.3;231.015;101.15;93.9;314.81;122;105.293;105.709;116;244.2
15.10.2012;94.2;231.638;101.27;94.3;314.59;122.2;105.263;105.871;116.2;245.6
15.11.2012;94.2;231.249;100.94;94.4;313.82;121.9;105.235;106.033;116;245.6
15.12.2012;94.3;231.221;100.73;94.7;314.61;121.2;105.209;106.195;116.4;246.8
15.01.2013;94.4;231.679;100.46;94.5;312;121.3;105.417;106.362;115.1;245.8
15.02.2013;94.2;232.937;100.76;95.1;313.39;122.7;105.581;106.512;115.6;247.6
15.03.2013;94.2;232.282;100.98;95.4;314.65;122.9;105.741;106.662;116.9;248.7
15.04.2013;94.3;231.797;101.01;95.9;314.03;122.7;105.783;106.792;116.8;249.5
15.05.2013;94.4;231.893;101.12;96;314.54;123;105.809;106.923;117;250
15.06.2013;94.6;232.445;101.22;95.7;313.99;123;105.819;107.053;117.1;249.7
15.07.2013;94.9;232.9;100.86;96.1;313.55;123.1;106.077;107.372;116.4;249.7
15.08.2013;95.1;233.456;100.79;96;313.84;123.1;106.332;107.682;116.5;251
15.09.2013;95.3;233.544;101.09;96.4;315.05;123.3;106.583;107.982;117.1;251.9
15.10.2013;95.3;233.669;101.01;96.6;314.4;123;106.771;108.32;117;251.9
15.11.2013;95.6;234.1;101.02;96.7;314.2;123;106.956;108.656;116.9;252.1
15.12.2013;95.7;234.719;100.79;96.6;315.04;122.7;107.139;108.988;117.3;253.4
15.01.2014;95.7;235.288;100.52;96.6;311.39;123.1;107.174;109.236;115.9;252.6
15.02.2014;95.7;235.547;100.62;97.1;312.7;124.1;107.274;109.533;116.3;254.2
15.03.2014;95.8;236.028;100.98;97.3;312.68;124.8;107.374;109.831;117.4;254.8
15.04.2014;97.6;236.468;101.05;97.7;313.89;125.2;107.423;110;117.6;255.7
15.05.2014;97.9;236.918;101.35;97.8;314.05;125.8;107.477;110.173;117.4;255.9
15.06.2014;98;237.231;101.27;97.5;314.7;125.9;107.534;110.349;117.6;256.3
15.07.2014;98.2;237.498;100.89;98.3;313.67;125.7;107.583;110.392;116.8;256
15.08.2014;98.3;237.46;100.86;97.9;313.35;125.7;107.635;110.437;116.9;257
15.09.2014;98.3;237.477;101;98.5;313.85;125.8;107.69;110.485;117.4;257.6
15.10.2014;98;237.43;101;98.6;314.02;125.9;107.747;110.587;117.4;257.7
15.11.2014;97.9;236.983;100.96;98.6;313.56;125.4;107.802;110.686;117.1;257.1
15.12.2014;98;236.252;100.46;98.6;314.05;124.5;107.854;110.784;117;257.5
15.01.2015;98;234.747;100.03;98.6;310.75;124.3;107.767;110.934;115.1;255.4
15.02.2015;97.8;235.342;99.77;98.9;312.93;125.4;107.671;111.072;115.9;256.7
15.03.2015;98.1;235.976;100.1;99.2;313.19;126.3;107.576;111.205;117.2;257.1
15.04.2015;98.3;236.222;99.92;99.6;313.16;126.2;107.728;111.464;117.5;258
15.05.2015;98.5;237.001;100.15;99.8;314.24;126.9;107.882;111.725;117.8;258.5
15.06.2015;98.4;237.657;100.22;100.1;313.33;127.2;108.037;111.989;117.7;258.9
15.07.2015;98.4;238.034;99.61;100.1;313.43;127.3;108.079;112.08;117;258.6
15.08.2015;98.4;238.033;99.45;99.9;312.81;127.3;108.122;112.172;117;259.8
15.09.2015;98.4;237.498;99.55;100.6;314.06;127.1;108.166;112.264;117.2;259.6
15.10.2015;98.2;237.733;99.63;101;314.29;127.2;108.089;112.393;117.4;259.5
15.11.2015;98.1;238.017;99.56;101.3;313.75;127.1;108.013;112.522;117.2;259.8
15.12.2015;98.1;237.761;99.15;100.9;314.21;126.5;107.938;112.651;117.2;260.6
15.01.2016;97.9;237.652;98.76;101.5;313.13;126.8;107.978;112.667;98.7;258.8
15.02.2016;98;237.336;98.95;102.1;314.14;127.1;108.009;112.658;98.8;260
15.03.2016;98.1;238.08;99.24;102.5;315.7;127.9;108.039;112.644;100.1;261.1
15.04.2016;98.1;238.992;99.56;102.9;315.64;128.3;108.184;112.794;100.1;261.4
15.05.2016;98;239.557;99.71;103.2;316.21;128.8;108.328;112.942;100.5;262.1
15.06.2016;98.1;240.222;99.85;103.8;316.54;129.1;108.473;113.089;100.6;263.1
15.07.2016;98;240.101;99.4;104.5;316.73;128.9;108.522;113.318;100.1;263.4
15.08.2016;97.9;240.545;99.3;103.9;316.38;128.7;108.57;113.544;100.1;264.4
15.09.2016;97.9;241.176;99.36;104.2;316.91;128.8;108.616;113.766;100.5;264.9
15.10.2016;98.4;241.741;99.42;104.7;318;129.1;108.868;113.953;100.8;264.8
15.11.2016;98.5;242.026;99.22;104.9;318.1;128.6;109.122;114.141;100.7;265.5
15.12.2016;98.3;242.637;99.14;104.4;319.68;128.4;109.379;114.33;101.3;267.1
15.01.2017;98.3;243.618;99.11;104.3;317.5;129.5;109.702;114.573;100.4;265.5
15.02.2017;98.2;244.006;99.58;104.7;319.73;129.7;110.054;114.832;100.8;268.4
15.03.2017;98.3;243.892;99.8;105;319.68;129.9;110.409;115.092;101.6;269.3
15.04.2017;98.5;244.193;100;105.2;321.54;130.4;110.389;115.152;102;270.6
15.05.2017;98.5;244.004;100.19;105.4;321.74;130.5;110.373;115.216;101.8;271.7
15.06.2017;98.5;244.163;100.04;105.8;321.97;130.4;110.361;115.283;101.9;272.3
15.07.2017;98.5;244.243;99.73;106.1;323.69;130.4;110.468;115.478;101.3;272.9
15.08.2017;98.5;245.183;99.76;105.3;323.18;130.5;110.58;115.673;101.6;274.7
15.09.2017;98.7;246.435;100.01;105.9;323.62;130.8;110.698;115.87;102;275.1
15.10.2017;98.6;246.626;100.07;106;323.38;130.9;110.832;116.06;102.1;275.3
15.11.2017;99;247.284;100;106.1;324.04;131.3;110.961;116.234;102.2;275.8
15.12.2017;99.4;247.805;99.97;106.1;325.23;130.8;111.085;116.391;102.6;278.1
15.01.2018;99.6;248.859;99.84;106;322.51;131.7;111.202;116.58;101.6;276
15.02.2018;99.6;249.529;100.21;107;324.87;132.5;111.328;116.802;101.8;278.1
15.03.2018;99.4;249.577;100.59;107.3;325.76;132.9;111.456;117.032;102.8;278.3
15.04.2018;99.1;250.227;100.8;107.7;327.1;133.3;111.669;117.345;103.1;279.7
15.05.2018;99.2;250.792;101.19;107.8;327.86;133.4;111.889;117.663;103.6;280.7
15.06.2018;99.2;251.018;101.19;108.5;328.62;133.6;112.115;117.984;103.8;281.5
15.07.2018;99.4;251.214;100.96;109.3;330.33;134.3;112.371;118.009;103.4;281.7
15.08.2018;99.8;251.663;100.94;108.9;329.63;134.2;112.631;118.038;103.6;284.2
15.09.2018;99.9;252.182;101;109.5;331.14;133.7;112.895;118.073;104;284.1
15.10.2018;100;252.772;101.18;109.3;330.72;134.1;112.98;118.196;104.3;284.5
15.11.2018;99.8;252.594;100.92;109.8;330.4;133.5;113.071;118.32;104.1;284.6
15.12.2018;99.6;252.767;100.66;109.8;331.87;133.4;113.168;118.448;104.1;285.6
15.01.2019;99.7;252.561;100.4;109.3;328.56;133.6;113.141;118.452;102.7;283
15.02.2019;99.8;253.319;100.79;110.2;331.02;134.5;113.136;118.484;103.1;285
15.03.2019;99.8;254.277;101.33;110.4;331.79;135.4;113.144;118.516;104.1;285.1
15.04.2019;100;255.233;101.52;110.8;334.11;136;113.449;118.938;104.8;288.2
15.05.2019;99.9;255.296;101.83;110.5;334.95;136.6;113.761;119.367;105;289.2
15.06.2019;99.9;255.213;101.8;110.6;334.47;136.3;114.08;119.803;105.2;289.6
15.07.2019;99.9;255.802;101.27;111.4;335.8;137;114.203;119.901;104.6;289.5
15.08.2019;100;256.036;101.26;110.6;334.39;136.8;114.332;120.01;104.8;291.7
15.09.2019;100.1;256.43;101.15;111.1;335.95;136.2;114.468;120.131;105;291
15.10.2019;100.2;257.155;100.92;111.3;336.04;136.6;114.712;120.32;105.2;290.4
15.11.2019;100.4;257.879;100.79;111.6;336.36;136.4;114.967;120.52;104.8;291
15.12.2019;100.5;258.63;100.82;111.3;337.68;136.4;115.233;120.731;105.1;291.9
15.01.2020;100.5;259.127;100.6;111.3;332.82;136.8;115.51;120.862;104;290.6
15.02.2020;100.4;259.25;100.73;111.2;334.47;137.4;115.802;120.992;104.2;292
15.03.2020;100.4;258.076;100.8;111.2;333.91;136.6;116.106;121.132;104.8;292.6
15.04.2020;100.2;256.032;100.44;111.7;332.9;135.7;115.98;120.531;105.1;292.6
15.05.2020;100.1;255.802;100.48;111.9;334.91;136.1;115.863;119.938;104.9;292.2
15.06.2020;100.1;257.042;100.5;112.1;336.84;137.2;115.755;119.352;105.3;292.7
15.07.2020;100.1;258.352;100.34;112.9;337.57;137.2;115.852;119.882;104.9;294.2
15.08.2020;100.1;259.316;100.39;112.5;337.07;137;115.956;120.419;104.4;293.3
15.09.2020;99.9;259.997;100.34;112.9;337.27;136.9;116.067;120.962;104.5;294.3
15.10.2020;99.7;260.319;100.35;113.2;336.97;137.5;116.309;121.215;104.7;294.3
15.11.2020;99.4;260.911;100.1;112.4;337;137.7;116.557;121.472;104.4;293.5
15.12.2020;99.4;262.045;100;112.9;339.34;137.4;116.81;121.734;104.7;295.4
15.01.2021;99.8;262.639;100.06;114.1;338.09;138.2;117.171;121.972;104.9;294.6
15.02.2021;99.9;263.573;100.22;114.9;339.01;138.9;117.52;122.204;105.1;296
15.03.2021;100;264.847;100.56;114.6;339.54;139.6;117.876;122.443;106.1;296.9
15.04.2021;99;266.625;100.77;115;340.37;140.3;118.465;122.944;106.7;301.1
15.05.2021;99.3;268.404;101.03;114.9;341.04;141;119.059;123.449;107;301.9
15.06.2021;99.6;270.71;101.11;115.3;341.32;141.4;119.656;123.957;107.3;304
15.07.2021;99.7;271.965;101.02;116.3;342.23;142.3;120.355;124.154;107.2;305.5
