Date;USD_TO_AUD_1M_FWD_PTS;USD_TO_AUD_3M_FWD_PTS;USD_TO_AUD_6M_FWD_PTS;USD_TO_AUD_9M_FWD_PTS;USD_TO_EUR_1M_FWD_PTS;USD_TO_EUR_3M_FWD_PTS;USD_TO_EUR_6M_FWD_PTS;USD_TO_EUR_9M_FWD_PTS;USD_TO_NZD_1M_FWD_PTS;USD_TO_NZD_3M_FWD_PTS;USD_TO_NZD_6M_FWD_PTS;USD_TO_NZD_9M_FWD_PTS;SEK_TO_USD_1M_FWD_PTS;SEK_TO_USD_3M_FWD_PTS;SEK_TO_USD_6M_FWD_PTS;SEK_TO_USD_9M_FWD_PTS;NOK_TO_USD_1M_FWD_PTS;NOK_TO_USD_3M_FWD_PTS;NOK_TO_USD_6M_FWD_PTS;NOK_TO_USD_9M_FWD_PTS;USD_TO_GBP_1M_FWD_PTS;USD_TO_GBP_3M_FWD_PTS;USD_TO_GBP_6M_FWD_PTS;USD_TO_GBP_9M_FWD_PTS;JPY_TO_USD_1M_FWD_PTS;JPY_TO_USD_3M_FWD_PTS;JPY_TO_USD_6M_FWD_PTS;JPY_TO_USD_9M_FWD_PTS;CAD_TO_USD_1M_FWD_PTS;CAD_TO_USD_3M_FWD_PTS;CAD_TO_USD_6M_FWD_PTS;CAD_TO_USD_9M_FWD_PTS;CHF_TO_USD_1M_FWD_PTS;CHF_TO_USD_3M_FWD_PTS;CHF_TO_USD_6M_FWD_PTS;CHF_TO_USD_9M_FWD_PTS
31.12.1999;3.35;7.25;10.5;10.75;23.15;;;;3.13;6.25;8.25;6.0;-175.5;;;;-5.0;-27.5;-110.0;-245.0;2.5;0.75;;;-53.0;-148.5;;;-10.5;-31.5;-61.5;-87.0;-61.8;;;
03.01.2000;3.25;7.05;10.5;10.0;25.35;;;;3.15;5.5;7.0;3.5;-180.5;;;;-11.0;-30.0;-105.0;-240.0;2.45;1.0;;;-51.75;-147.5;;;-11.75;-32.5;-61.5;-88.0;-61.25;;;
04.01.2000;3.27;7.15;9.63;9.75;23.5;;;;2.95;6.5;9.5;7.0;-172.0;;;;-7.5;-42.5;-135.0;-280.0;1.63;0.65;;;-51.45;-149.9;;;-10.75;-31.5;-58.5;-82.0;-60.3;;;
05.01.2000;3.27;7.55;10.13;10.75;23.35;;;;3.0;6.5;9.0;7.5;-166.5;;;;-7.5;-45.0;-130.0;-270.0;1.88;0.65;;;-55.0;-152.5;;;-10.65;-30.5;-55.5;-78.0;-58.6;;;
06.01.2000;3.2;7.45;10.0;9.5;23.35;;;;2.85;6.25;8.75;5.5;-169.0;;;;-5.0;-43.0;-125.0;-260.0;1.57;0.75;;;-55.65;-153.3;;;-10.75;-30.5;-56.5;-78.0;-58.15;;;
07.01.2000;3.1;7.05;8.99;8.0;23.35;;;;2.6;5.65;7.5;4.5;-170.5;;;;-5.0;-45.0;-135.0;-270.0;1.38;0.75;;;-54.25;-154.5;;;-5.75;-30.5;-55.5;-81.0;-57.1;;;
10.01.2000;3.18;6.75;7.95;6.9;24.25;;;;2.95;6.0;8.0;5.0;-181.5;;;;-5.0;-42.0;-135.0;-275.0;1.25;0.65;;;-53.0;-153.75;;;-11.15;-32.25;-59.5;-82.0;-60.55;;;
11.01.2000;3.15;6.75;7.75;5.7;23.45;;;;2.7;6.05;7.5;5.0;-175.5;;;;-8.5;-47.0;-135.0;-260.0;0.8;-0.25;;;-51.5;-155.15;;;-11.55;-31.25;-58.5;-80.0;-59.2;;;
12.01.2000;3.1;7.05;8.25;6.8;23.35;;;;2.8;6.45;7.55;6.0;-173.5;;;;-7.5;-46.0;-130.0;-255.0;0.5;-0.25;;;-51.45;-155.25;;;-11.75;-31.0;-58.5;-82.0;-58.25;;;
13.01.2000;3.5;7.45;9.35;8.7;23.4;;;;2.75;7.55;9.0;7.0;-171.5;;;;-6.5;-42.5;-135.0;-265.0;2.05;2.25;;;-51.65;-155.5;;;-11.05;-30.25;-57.5;-81.0;-57.7;;;
14.01.2000;4.0;7.35;9.06;8.25;23.25;;;;2.8;7.25;8.8;6.0;-173.5;;;;-7.5;-45.0;-130.0;-255.0;1.55;1.55;;;-51.55;-155.0;;;-10.95;-30.5;-59.0;-83.0;-57.95;;;
17.01.2000;3.63;7.15;8.63;8.05;24.85;;;;2.75;6.65;7.5;5.5;-187.5;;;;-7.5;-42.5;-130.0;-275.0;1.35;1.25;;;-54.75;-154.0;;;-11.75;-30.5;-57.5;-81.0;-63.1;;;
18.01.2000;3.4;7.15;8.5;6.8;25.05;;;;2.0;4.65;3.75;0.5;-182.5;;;;-8.5;-47.5;-145.0;-265.0;1.0;1.25;;;-54.75;-154.5;;;-11.05;-28.5;-52.5;-75.0;-61.2;;;
19.01.2000;3.25;6.65;8.0;7.05;24.35;;;;2.25;6.0;6.05;3.0;-172.5;;;;-7.5;-45.0;-130.0;-275.0;0.75;0.75;;;-53.2;-154.55;;;-11.25;-28.2;-53.5;-74.0;-60.1;;;
20.01.2000;3.07;6.35;7.45;6.75;23.45;;;;2.0;5.5;5.8;2.0;-164.5;;;;-8.5;-47.5;-140.0;-275.0;-0.48;-1.25;;;-51.45;-154.55;;;-10.25;-27.5;-52.5;-72.0;-57.1;;;
21.01.2000;2.9;6.25;7.4;6.35;23.35;;;;1.95;5.35;5.5;-0.5;-161.5;;;;-9.0;-45.0;-147.5;-280.0;-0.23;-1.25;;;-51.1;-153.5;;;-10.25;-28.5;-54.5;-78.0;-56.4;;;
24.01.2000;2.8;5.65;6.2;4.75;24.55;;;;2.0;5.0;4.5;0.0;-173.5;;;;-8.5;-47.5;-135.0;-270.0;-0.5;-0.95;;;-54.95;-154.75;;;-10.45;-29.5;-57.5;-81.0;-59.4;;;
25.01.2000;2.7;5.55;6.15;4.5;23.75;;;;2.3;4.95;4.9;2.5;-168.5;;;;-8.5;-46.0;-141.0;-281.0;-0.95;-1.55;;;-52.05;-155.65;;;-10.75;-29.5;-57.5;-83.0;-58.4;;;
