N/A;USD TO AUD 1M FWD PTS - EXCHANGE RATE;USD TO AUD 3M FWD PTS - EXCHANGE RATE;USD TO AUD 6M FWD PTS - EXCHANGE RATE;USD TO AUD 9M FWD PTS - EXCHANGE RATE;USD TO EUR 1M FWD PTS - EXCHANGE RATE;USD TO EUR 3M FWD PTS - EXCHANGE RATE;USD TO EUR 6M FWD PTS - EXCHANGE RATE;USD TO EUR 9M FWD PTS - EXCHANGE RATE;USD TO NZD 1M FWD PTS - EXCHANGE RATE;USD TO NZD 3M FWD PTS - EXCHANGE RATE;USD TO NZD 6M FWD PTS - EXCHANGE RATE;USD TO NZD 9M FWD PTS - EXCHANGE RATE;SEK TO USD 1M FWD PTS - EXCHANGE RATE;SEK TO USD 3M FWD PTS - EXCHANGE RATE;SEK TO USD 6M FWD PTS - EXCHANGE RATE;SEK TO USD 9M FWD PTS - EXCHANGE RATE;NOK TO USD 1M FWD PTS - EXCHANGE RATE;NOK TO USD 3M FWD PTS - EXCHANGE RATE;NOK TO USD 6M FWD PTS - EXCHANGE RATE;NOK TO USD 9M FWD PTS - EXCHANGE RATE;USD TO GBP 1M FWD PTS - EXCHANGE RATE;USD TO GBP 3M FWD PTS - EXCHANGE RATE;USD TO GBP 6M FWD PTS - EXCHANGE RATE;USD TO GBP 9M FWD PTS - EXCHANGE RATE;JPY TO USD 1M FWD PTS - EXCHANGE RATE;JPY TO USD 3M FWD PTS - EXCHANGE RATE;JPY TO USD 6M FWD PTS - EXCHANGE RATE;JPY TO USD 9M FWD PTS - EXCHANGE RATE;CAD TO USD 1M FWD PTS - EXCHANGE RATE;CAD TO USD 3M FWD PTS - EXCHANGE RATE;CAD TO USD 6M FWD PTS - EXCHANGE RATE;CAD TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD 1M FWD PTS - EXCHANGE RATE;CHF TO USD 3M FWD PTS - EXCHANGE RATE;CHF TO USD 6M FWD PTS - EXCHANGE RATE;CHF TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD (LSEG DS) - EXCHANGE RATE;EURO TO US $ (RFV) - EXCHANGE RATE;CAD TO USD (LSEG DS) - EXCHANGE RATE;AUD TO USD (LSEG DS) - EXCHANGE RATE;NZD TO USD (LSEG DS) - EXCHANGE RATE;GBP TO US $ (LSEG DS) - EXCHANGE RATE;JPY TO USD (LSEG DS) - EXCHANGE RATE;NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE;SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE;Gold, USD FX Comp. U$/Troy Oz;Silver Commodity Cash Spot;Platinum,Free Market $/troy oz;Palladium, USD FX Comp. U$/Troy Oz
Code;AUD1MFP;AUD3MFP;AUD6MFP;AUD9MFP;EUR1MFP;EUR3MFP;EUR6MFP;EUR9MFP;NZD1MFP;NZD3MFP;NZD6MFP;NZD9MFP;SEK1MFP;SEK3MFP;SEK6MFP;SEK9MFP;NOK1MFP;NOK3MFP;NOK6MFP;NOK9MFP;GBP1MFP;GBP3MFP;GBP6MFP;GBP9MFP;JPY1MFP;JPY3MFP;JPY6MFP;JPY9MFP;CAD1MFP;CAD3MFP;CAD6MFP;CAD9MFP;CHF1MFP;CHF3MFP;CHF6MFP;CHF9MFP;TDCHFSP;EUDOLLR;TDCADSP;TDAUDSI;TDNZDSI;TSUSDSP;TDJPYSP;NORKRO$;SWEKRO$;GOLDUSD;SILVCSP;PLTFREE;PALLUSD
31.12.1999;3.35;7.25;10.5;10.75;23.15;NA;NA;NA;3.13;6.25;8.25;6;-175.5;NA;NA;NA;-5;-27.5;-110;-245;2.5;0.75;NA;NA;-53;-148.5;NA;NA;-10.5;-31.5;-61.5;-87;-61.8;NA;NA;NA;1.5907;0.99761;1.446;1.53083;1.92047;NA;102.26;8.0372;8.543;288.25;5.42;443;449.5
03.01.2000;3.25;7.05;10.5;10;25.35;NA;NA;NA;3.15;5.5;7;3.5;-180.5;NA;NA;NA;-11;-30;-105;-240;2.45;1;NA;NA;-51.75;-147.5;NA;NA;-11.75;-32.5;-61.5;-88;-61.25;NA;NA;NA;1.56475;0.98493;1.4466;1.52053;1.91598;NA;101.585;7.954;8.44;289;5.36;443;452.5
04.01.2000;3.27;7.15;9.63;9.75;23.5;NA;NA;NA;2.95;6.5;9.5;7;-172;NA;NA;NA;-7.5;-42.5;-135;-280;1.63;0.65;NA;NA;-51.45;-149.9;NA;NA;-10.75;-31.5;-58.5;-82;-60.3;NA;NA;NA;1.55545;0.97069;1.45205;1.51821;1.9017;NA;103.265;7.9303;8.363;282.45;5.345;433;440.4
05.01.2000;3.27;7.55;10.13;10.75;23.35;NA;NA;NA;3;6.5;9;7.5;-166.5;NA;NA;NA;-7.5;-45;-130;-270;1.88;0.65;NA;NA;-55;-152.5;NA;NA;-10.65;-30.5;-55.5;-78;-58.6;NA;NA;NA;1.555;0.9674;1.4495;1.51974;1.92354;NA;104.295;7.9354;8.352;281;5.165;420;437.5
06.01.2000;3.2;7.45;10;9.5;23.35;NA;NA;NA;2.85;6.25;8.75;5.5;-169;NA;NA;NA;-5;-43;-125;-260;1.57;0.75;NA;NA;-55.65;-153.3;NA;NA;-10.75;-30.5;-56.5;-78;-58.15;NA;NA;NA;1.5536;0.96628;1.4595;1.52345;1.93237;NA;105.325;7.9265;8.351;281.23;5.125;414;435.8
07.01.2000;3.1;7.05;8.99;8;23.35;NA;NA;NA;2.6;5.65;7.5;4.5;-170.5;NA;NA;NA;-5;-45;-135;-270;1.38;0.75;NA;NA;-54.25;-154.5;NA;NA;-5.75;-30.5;-55.5;-81;-57.1;NA;NA;NA;1.56475;0.97191;1.4558;1.5285;1.93721;NA;105.365;7.9768;8.424;281.75;5.16;418;444.4
10.01.2000;3.18;6.75;7.95;6.9;24.25;NA;NA;NA;2.95;6;8;5;-181.5;NA;NA;NA;-5;-42;-135;-275;1.25;0.65;NA;NA;-53;-153.75;NA;NA;-11.15;-32.25;-59.5;-82;-60.55;NA;NA;NA;1.5685;0.97418;1.4555;1.52279;1.93914;NA;105.115;8.009;8.449;281.48;5.145;418;452.45
11.01.2000;3.15;6.75;7.75;5.7;23.45;NA;NA;NA;2.7;6.05;7.5;5;-175.5;NA;NA;NA;-8.5;-47;-135;-260;0.8;-0.25;NA;NA;-51.5;-155.15;NA;NA;-11.55;-31.25;-58.5;-80;-59.2;NA;NA;NA;1.5585;0.97106;1.4578;1.52752;1.93537;NA;106.085;7.978;8.4136;283.3799;5.16;420;450.5
12.01.2000;3.1;7.05;8.25;6.8;23.35;NA;NA;NA;2.8;6.45;7.55;6;-173.5;NA;NA;NA;-7.5;-46;-130;-255;0.5;-0.25;NA;NA;-51.45;-155.25;NA;NA;-11.75;-31;-58.5;-82;-58.25;NA;NA;NA;1.5629;0.97343;1.4543;1.51902;1.92671;NA;105.95;7.9926;8.4387;282.48;5.1;421;452.75
13.01.2000;3.5;7.45;9.35;8.7;23.4;NA;NA;NA;2.75;7.55;9;7;-171.5;NA;NA;NA;-6.5;-42.5;-135;-265;2.05;2.25;NA;NA;-51.65;-155.5;NA;NA;-11.05;-30.25;-57.5;-81;-57.7;NA;NA;NA;1.5723;0.97352;1.4503;1.50236;1.90955;NA;106.09;7.9399;8.4223;284.25;5.115;423;447.5
14.01.2000;4;7.35;9.06;8.25;23.25;NA;NA;NA;2.8;7.25;8.8;6;-173.5;NA;NA;NA;-7.5;-45;-130;-255;1.55;1.55;NA;NA;-51.55;-155;NA;NA;-10.95;-30.5;-59;-83;-57.95;NA;NA;NA;1.5925;0.98775;1.4496;1.50137;1.91943;NA;105.805;8.002;8.479;284;5.11;429;440
17.01.2000;3.63;7.15;8.63;8.05;24.85;NA;NA;NA;2.75;6.65;7.5;5.5;-187.5;NA;NA;NA;-7.5;-42.5;-130;-275;1.35;1.25;NA;NA;-54.75;-154;NA;NA;-11.75;-30.5;-57.5;-81;-63.1;NA;NA;NA;1.5963;0.99177;1.4494;1.50274;1.92641;NA;104.84;8.0388;8.49;285.5498;5.115;432;438.5
18.01.2000;3.4;7.15;8.5;6.8;25.05;NA;NA;NA;2;4.65;3.75;0.5;-182.5;NA;NA;NA;-8.5;-47.5;-145;-265;1;1.25;NA;NA;-54.75;-154.5;NA;NA;-11.05;-28.5;-52.5;-75;-61.2;NA;NA;NA;1.5921;0.98922;1.4502;1.50901;1.93703;NA;105.69;8.0193;8.483;288.6499;5.125;434;439.2
19.01.2000;3.25;6.65;8;7.05;24.35;NA;NA;NA;2.25;6;6.05;3;-172.5;NA;NA;NA;-7.5;-45;-130;-275;0.75;0.75;NA;NA;-53.2;-154.55;NA;NA;-11.25;-28.2;-53.5;-74;-60.1;NA;NA;NA;1.5942;0.9902;1.4518;1.5046;1.93339;NA;105.33;8.0025;8.4933;289.5298;5.125;444;442.5
20.01.2000;3.07;6.35;7.45;6.75;23.45;NA;NA;NA;2;5.5;5.8;2;-164.5;NA;NA;NA;-8.5;-47.5;-140;-275;-0.48;-1.25;NA;NA;-51.45;-154.55;NA;NA;-10.25;-27.5;-52.5;-72;-57.1;NA;NA;NA;1.5835;0.99049;1.4467;1.50733;1.94387;NA;105.345;8.002;8.483;288.6299;5.215;444;452.2
21.01.2000;2.9;6.25;7.4;6.35;23.35;NA;NA;NA;1.95;5.35;5.5;-0.5;-161.5;NA;NA;NA;-9;-45;-147.5;-280;-0.23;-1.25;NA;NA;-51.1;-153.5;NA;NA;-10.25;-28.5;-54.5;-78;-56.4;NA;NA;NA;1.5962;0.99305;1.4402;1.50682;1.94628;NA;104.73;8.0135;8.514;289.0999;5.21;442;457
24.01.2000;2.8;5.65;6.2;4.75;24.55;NA;NA;NA;2;5;4.5;0;-173.5;NA;NA;NA;-8.5;-47.5;-135;-270;-0.5;-0.95;NA;NA;-54.95;-154.75;NA;NA;-10.45;-29.5;-57.5;-81;-59.4;NA;NA;NA;1.6002;0.99771;1.4423;1.52523;1.96617;NA;105.665;8.027;8.533;287.7;5.245;455;470.75
25.01.2000;2.7;5.55;6.15;4.5;23.75;NA;NA;NA;2.3;4.95;4.9;2.5;-168.5;NA;NA;NA;-8.5;-46;-141;-281;-0.95;-1.55;NA;NA;-52.05;-155.65;NA;NA;-10.75;-29.5;-57.5;-83;-58.4;NA;NA;NA;1.6115;0.99354;1.4367;1.52451;1.96206;NA;106.02;8.0135;8.484;285.8499;5.265;461;478.5
26.01.2000;2.6;5.35;5.8;4;21.4;NA;NA;NA;2.1;4.75;5.5;1.5;-161.5;NA;NA;NA;-5.5;-40;-135;-275;-0.45;-1.05;NA;NA;-48.85;-150.75;NA;NA;-10.25;-29.5;-57.5;-83;-56.3;NA;NA;NA;1.6103;0.9988;1.4387;1.52717;1.96281;NA;105.705;8.0668;8.534;285.95;5.215;456;472.5
27.01.2000;2.68;5.55;6.63;6.5;20.25;NA;NA;NA;2.1;5.25;5.3;1.5;-148.5;NA;NA;NA;-9.5;-42;-140;-280;-0.9;-1.5;NA;NA;-48.8;-149.4;NA;NA;-9.95;-28.7;-57.5;-84;-51.9;NA;NA;NA;1.6323;1.01174;1.435;1.53098;1.96539;NA;105.165;8.1565;8.633;286.8999;5.35;462;483.5
28.01.2000;3.05;7.75;10.65;12.5;20.45;NA;NA;NA;2.15;5.2;5.8;-1;-152.5;NA;NA;NA;-13.5;-47;-145;-315;-0.9;-0.9;NA;NA;-49;-156.25;NA;NA;-9.45;-28;-58.5;-85;-51.6;NA;NA;NA;1.64975;1.02051;1.4453;1.54233;2.01403;NA;107.12;8.2185;8.735;282.7598;5.265;494;485.4
31.01.2000;3.3;7.75;12;13.5;20.65;NA;NA;NA;2.05;4.2;4;3.5;-157.5;NA;NA;NA;-17;-58;-165;-325;-0.5;-0.75;NA;NA;-49.5;-157.5;NA;NA;-9.55;-28.5;-58.5;-82;-50.7;NA;NA;NA;1.6566;1.02208;1.44585;1.57268;2.02487;NA;107.4;8.2695;8.7935;283.23;5.25;484;484.5
01.02.2000;3.1;7.45;12.7;15;20.6;NA;NA;NA;2.25;4.3;4;3;-157.5;NA;NA;NA;-16;-57;-175;-340;-0.25;1.05;NA;NA;-50.25;-167.95;NA;NA;-9.75;-28.5;-56.5;-82;-51.6;NA;NA;NA;1.6562;1.02785;1.4482;1.57107;2.01763;NA;107.805;8.288;8.786;282.6299;5.195;488;492.05
02.02.2000;2.25;5.85;8.7;9.75;20.6;NA;NA;NA;2.35;4.35;3;2;-168.5;NA;NA;NA;-14.5;-52;-170;-325;0.25;2.5;NA;NA;-50.45;-161.9;NA;NA;-10.85;-30;-59.5;-86;-54.8;NA;NA;NA;1.6506;1.02859;1.4386;1.57326;2.04469;NA;108.16;8.2533;8.75;284.8799;5.185;497;501.5
03.02.2000;1.68;5.15;7.13;7.95;20.35;NA;NA;NA;2;4.6;3.5;1;-149.5;NA;NA;NA;-11.5;-50;-150;-305;-0.8;-0.75;NA;NA;-49.5;-160;NA;NA;-10.05;-29.5;-60;-87;-48.05;NA;NA;NA;1.62235;1.01605;1.4409;1.57837;2.03052;NA;107.6;8.1895;8.6327;287.3999;5.23;502;508.5
