dt,MSCI Australia Net Return AUD Index,MSCI Canada Net Return CAD Index,MSCI Europe ex Switzerland Net Return EUR Index,MSCI Japan Net Return JPY Index,MSCI New Zealand Net Return NZD Index,MSCI Norway Net Return NOK Index,MSCI Sweden Net Return SEK Index,MSCI Switzerland Net Return CHF Index,MSCI UK Net Total Return Local Index,MSCI USA Net Total Return USD Index
1999-12-28,,,,,,,,,5365.84,
1999-12-29,,,,,,,,,5391.87,
1999-12-30,,,,,,,,,5462.06,3117.792
1999-12-31,1481.92,,,1487.47,,,,,5453.64,3125.557
2000-01-03,1481.92,,,1487.47,,,,,5462.06,3105.75
2000-01-04,1481.92,,,1487.47,,,,,5268.16,2981.371
2000-01-05,1481.92,,,1487.47,,,,,5160.52,2989.323
2000-01-06,1481.92,,,1487.47,,,,,5098.76,2964.207
2000-01-07,1481.92,,,1487.47,,,,,5131.17,3066.638
2000-01-10,1481.92,,,1487.47,,,,,5200.83,3104.577
2000-01-11,1481.92,,,1487.47,,,,,5138.21,3062.075
2000-01-12,1481.92,,,1487.47,,,,,5139.83,3044.378
2000-01-13,1481.92,,,1487.47,,,,,5127.58,3084.818
2000-01-14,1481.92,,,1487.47,,,,,5223.72,3113.915
2000-01-17,1481.92,,,1487.47,,,,,5232.94,3113.915
2000-01-18,1481.92,,,1487.47,,,,,5118.13,3089.628
2000-01-19,1481.92,,,1487.47,,,,,5074.7,3094.48
2000-01-20,1481.92,,,1487.47,,,,,4986.73,3068.556
2000-01-21,1481.92,,,1487.47,,,,,4982.17,3061.503
2000-01-24,1481.92,,,1487.47,,,,,4993.35,2979.219
2000-01-25,1481.92,,,1487.47,,,,,4904.62,2997.072
2000-01-26,1481.92,,,1487.47,,,,,4982.63,2982.647
2000-01-27,1481.92,,,1487.47,,,,,5033.43,2970.838
2000-01-28,1481.92,,,1487.47,,,,,4999.76,2890.575
2000-01-31,1465.72,,,1488.25,,,,,4926.22,2956.743
2000-02-01,1465.72,,,1488.25,,,,,4941.39,2996.133
2000-02-02,1465.72,,,1488.25,,,,,4939.93,2991.584
2000-02-03,1465.72,,,1488.25,,,,,4939.41,3025.369
2000-02-04,1465.72,,,1488.25,,,,,4823.46,3021.63
2000-02-07,1465.72,,,1488.25,,,,,4769.89,3023.675
2000-02-08,1465.72,,,1488.25,,,,,4875.04,3054.308
2000-02-09,1465.72,,,1488.25,,,,,4902.32,2987.527
2000-02-10,1465.72,,,1488.25,,,,,4871.25,2994.359
2000-02-11,1465.72,,,1488.25,,,,,4815.03,2935.763
2000-02-14,1465.72,,,1488.25,,,,,4718.29,2943.051
2000-02-15,1465.72,,,1488.25,,,,,4659.67,2963.341
2000-02-16,1465.72,,,1488.25,,,,,4761.8,2925.335
2000-02-17,1465.72,,,1488.25,,,,,4805.45,2923.205
2000-02-18,1465.72,,,1488.25,,,,,4770.58,2837.776
2000-02-21,1465.72,,,1488.25,,,,,4727.53,2837.776
2000-02-22,1465.72,,,1488.25,,,,,4727.12,2847.843
2000-02-23,1465.72,,,1488.25,,,,,4832.76,2869.76
2000-02-24,1465.72,,,1488.25,,,,,4783.91,2857.694
2000-02-25,1465.72,,,1488.25,,,,,4865.1,2814.124
2000-02-28,1465.72,,,1488.25,,,,,4793.01,2846.052
2000-02-29,1486.18,,,1487.72,,,,,4898.21,2886.054
2000-03-01,1486.18,,,1487.72,,,,,4998.35,2908.224
2000-03-02,1486.18,,,1487.72,,,,,5050.23,2922.932
2000-03-03,1486.18,,,1487.72,,,,,5104.25,2979.376
2000-03-06,1486.18,,,1487.72,,,,,5196.79,2935.179
2000-03-07,1486.18,,,1487.72,,,,,5101.14,2857.996
2000-03-08,1486.18,,,1487.72,,,,,5057.06,2882.805
2000-03-09,1486.18,,,1487.72,,,,,5169.1,2951.445
2000-03-10,1486.18,,,1487.72,,,,,5202.35,2934.115
2000-03-13,1486.18,,,1487.72,,,,,5146.71,2915.731
2000-03-14,1486.18,,,1487.72,,,,,5155.05,2868.214
2000-03-15,1486.18,,,1487.72,,,,,5123.25,2936.284
2000-03-16,1486.18,,,1487.72,,,,,5205.22,3075.859
2000-03-17,1486.18,,,1487.72,,,,,5198.2,3086.309
2000-03-20,1486.18,,,1487.72,,,,,5253.11,3076.208
2000-03-21,1486.18,,,1487.72,,,,,5269.09,3155.819
2000-03-22,1486.18,,,1487.72,,,,,5274.16,3173.472
2000-03-23,1486.18,,,1487.72,,,,,5259.37,3233.852
2000-03-24,1486.18,,,1487.72,,,,,5353.54,3233.041
2000-03-27,1486.18,,,1487.72,,,,,5308.77,3226.662
2000-03-28,1486.18,,,1487.72,,,,,5283.38,3194.418
2000-03-29,1486.18,,,1487.72,,,,,5234.7,3196.53
2000-03-30,1486.18,,,1487.72,,,,,5134.11,3153.317
2000-03-31,1490.58,,,1503.53,,,,,5204.28,3173.6
2000-04-03,1490.58,,,1503.53,,,,,5168.85,3192.528
2000-04-04,1490.58,,,1503.53,,,,,5163.85,3174.572
2000-04-05,1490.58,,,1503.53,,,,,5126.65,3157.573
2000-04-06,1490.58,,,1503.53,,,,,5167.75,3182.782
2000-04-07,1490.58,,,1503.53,,,,,5254.66,3211.15
2000-04-10,1490.58,,,1503.53,,,,,5233.18,3190.718
2000-04-11,1490.58,,,1503.53,,,,,5122.93,3182.428
2000-04-12,1490.58,,,1503.53,,,,,5103.98,3115.275
2000-04-13,1490.58,,,1503.53,,,,,5124.97,3058.666
2000-04-14,1490.58,,,1503.53,,,,,4993.07,2875.909
2000-04-17,1490.58,,,1503.53,,,,,4852.44,2973.535
2000-04-18,1490.58,,,1503.53,,,,,4912.18,3056.379
2000-04-19,1490.58,,,1503.53,,,,,5003.78,3021.019
2000-04-20,1490.58,,,1503.53,,,,,5043.38,3038.042
2000-04-21,1490.58,,,1503.53,,,,,5043.38,3038.042
2000-04-24,1490.58,,,1503.53,,,,,5043.38,3026.621
2000-04-25,1490.58,,,1503.53,,,,,5075.6,3119.622
2000-04-26,1490.58,,,1503.53,,,,,5047.32,3088.176
2000-04-27,1490.58,,,1503.53,,,,,4986.82,3095.892
2000-04-28,1508.84,,,1465.17,,,,,5084.57,3069.683
2000-04-30,1508.84,,,,,,,,5084.57,
2000-05-01,1508.84,,,1465.17,,,,,5093.56,3098.467
2000-05-02,1508.84,,,1465.17,,,,,5119.7,3054.015
2000-05-03,1508.84,,,1465.17,,,,,4975.17,2989.679
2000-05-04,1508.84,,,1465.17,,,,,4987.77,2975.883
2000-05-05,1508.84,,,1465.17,,,,,5018.62,3020.892
2000-05-08,1508.84,,,1465.17,,,,,5008.83,3004.75
2000-05-09,1508.84,,,1465.17,,,,,4938.35,2981.813
2000-05-10,1508.84,,,1465.17,,,,,4922.57,2923.3
2000-05-11,1508.84,,,1465.17,,,,,5054.3,2976.819
2000-05-12,1508.84,,,1465.17,,,,,5086.86,3003.062
2000-05-15,1508.84,,,1465.17,,,,,5067.18,3068.74
2000-05-16,1508.84,,,1465.17,,,,,5118.63,3093.976
2000-05-17,1508.84,,,1465.17,,,,,5019.88,3050.715
2000-05-18,1508.84,,,1465.17,,,,,5049.84,3025.372
2000-05-19,1508.84,,,1465.17,,,,,4904.69,2969.94
2000-05-22,1508.84,,,1465.17,,,,,4900.88,2954.597
2000-05-23,1508.84,,,1465.17,,,,,4948.72,2900.614
2000-05-24,1508.84,,,1465.17,,,,,4988.3,2950.259
2000-05-25,1508.84,,,1465.17,,,,,5075.01,2911.095
2000-05-26,1508.84,,,1465.17,,,,,5053.33,2903.164
2000-05-29,1508.84,,,1465.17,,,,,5053.33,2903.164
2000-05-30,1508.84,,,1465.17,,,,,5157.78,2992.864
2000-05-31,1488.4,,,1385.45,,,,,5143.14,2988.374
2000-06-01,1488.4,,,1385.45,,,,,5230.01,3044.458
2000-06-02,1488.4,,,1385.45,,,,,5349.5,3100.781
2000-06-05,1488.4,,,1385.45,,,,,5287.48,3083.905
2000-06-06,1488.4,,,1385.45,,,,,5292.64,3064.241
2000-06-07,1488.4,,,1385.45,,,,,5256.19,3095.09
2000-06-08,1488.4,,,1385.45,,,,,5239.74,3073.738
2000-06-09,1488.4,,,1385.45,,,,,5200.98,3057.816
2000-06-12,1488.4,,,1385.45,,,,,5186.48,3034.072
2000-06-13,1488.4,,,1385.45,,,,,5200.61,3079.468
2000-06-14,1488.4,,,1385.45,,,,,5273.36,3081.075
2000-06-15,1488.4,,,1385.45,,,,,5239.87,3100.232
2000-06-16,1488.4,,,1385.45,,,,,5268.86,3066.921
2000-06-19,1488.4,,,1385.45,,,,,5249.82,3111.455
2000-06-20,1488.4,,,1385.45,,,,,5288.01,3094.198
2000-06-21,1488.4,,,1385.45,,,,,5245.33,3102.65
2000-06-22,1488.4,,,1385.45,,,,,5188.69,3050.889
2000-06-23,1488.4,,,1385.45,,,,,5174.62,3029.489
2000-06-26,1488.4,,,1385.45,,,,,5183.74,3050.793
2000-06-27,1488.4,,,1385.45,,,,,5159.72,3043.639
2000-06-28,1488.4,,,1385.45,,,,,5122.65,3055.067
2000-06-29,1488.4,,,1385.45,,,,,5070.34,3034.965
2000-06-30,1618.61,,,1454.98,,,,,5125.41,3058.548
2000-07-03,1618.61,,,1454.98,,,,,5250.38,3085.535
2000-07-04,1618.61,,,1454.98,,,,,5208.18,3085.535
2000-07-05,1618.61,,,1454.98,,,,,5173.57,3040.664
2000-07-06,1618.61,,,1454.98,,,,,5218.3,3059.937
2000-07-07,1618.61,,,1454.98,,,,,5272.2,3103.247
2000-07-10,1618.61,,,1454.98,,,,,5239.38,3095.473
2000-07-11,1618.61,,,1454.98,,,,,5247.53,3103.486
2000-07-12,1618.61,,,1454.98,,,,,5288.85,3126.263
