dt,Australia Govt Bonds 10 Year Note Generic Bid Yield,Canadian Govt Bonds 10 Year Note Generic Bid Yield,Germany Govt Bonds 10 Year Note Generic Bid Yield,Japan Govt Bonds 10 Year Note Generic Bid Yield,New Zealand Govt Bonds 10 Year Note Generic Bid Yield,Norway Govt Bonds 10 Year Note Generic Bid Yield,Swedish Govt Bonds 10 Year Note Generic Bid Yield,Switzerland Govt Bonds 10 Year Note Generic Bid Yield,UK Govt Bonds 10 Year Note Generic Bid Yield,US Govt Bonds 10 Year Note Generic Bid Yield
1999-12-31,6.98,6.255,5.358,1.675,7.316,6.143,,,5.484,6.442
2000-01-03,7.115,6.346,5.478,1.675,7.316,6.254,5.854,3.503,5.414,6.592
2000-01-04,7.068,6.402,5.492,1.738,7.315,6.314,5.889,3.711,5.662,6.497
2000-01-05,7.163,6.476,5.516,1.699,7.48,6.303,5.886,3.704,5.754,6.594
2000-01-06,7.1,6.41,5.545,1.685,7.475,6.354,5.929,3.747,5.763,6.524
2000-01-07,7.13,6.406,5.443,1.719,7.474,6.31,5.872,3.714,5.707,6.515
2000-01-10,7.158,6.421,5.415,1.719,7.47,6.275,5.808,3.691,5.63,6.552
2000-01-11,7.255,6.482,5.541,1.714,7.505,6.396,5.924,3.733,5.715,6.657
2000-01-12,7.26,6.508,5.549,1.738,7.535,6.434,5.955,3.717,5.757,6.703
2000-01-13,7.17,6.447,5.514,1.817,7.53,6.421,5.91,3.694,5.663,6.63
2000-01-14,7.233,6.485,5.552,1.8,7.536,6.361,5.857,3.638,5.71,6.679
2000-01-17,7.253,6.487,5.559,1.8,7.56,6.381,5.95,3.663,5.77,6.681
2000-01-18,7.293,6.552,5.644,1.765,7.61,6.455,6.028,3.721,5.867,6.748
2000-01-19,7.265,6.572,5.601,1.775,7.57,6.421,6.001,3.722,5.801,6.732
2000-01-20,7.305,6.604,5.581,1.8,7.52,6.422,6.003,3.741,5.844,6.788
2000-01-21,7.275,6.588,5.584,1.759,7.518,6.4,6.029,3.746,5.8,6.765
2000-01-24,7.258,6.496,5.57,1.68,7.46,6.379,6.014,3.752,5.774,6.685
2000-01-25,7.227,6.508,5.515,1.633,7.43,6.334,5.952,3.734,5.706,6.692
2000-01-26,7.23,6.434,5.526,1.651,7.51,6.333,5.943,3.745,5.705,6.664
2000-01-27,7.185,6.529,5.628,1.652,7.5,6.402,5.989,3.768,5.815,6.692
2000-01-28,7.132,6.532,5.63,1.68,7.476,6.41,6.025,3.803,5.84,6.658
2000-01-31,7.225,6.538,5.541,1.735,7.49,6.381,5.959,3.774,5.738,6.665
2000-02-01,7.15,6.485,5.459,1.77,7.47,6.286,5.905,3.709,5.591,6.619
2000-02-02,7.118,6.422,5.47,1.854,7.46,6.291,5.873,3.693,5.608,6.573
2000-02-03,6.985,6.321,5.443,1.869,7.41,6.328,5.861,3.671,5.552,6.489
