Date;Spot_CHF_TO_USD;Spot_EUR_TO_USD;Spot_CAD_TO_USD;Spot_AUD_TO_USD;Spot_NZD_TO_USD;Spot_GBP_TO_USD;Spot_JPY_TO_USD;Spot_NOK_TO_USD;Spot_SEK_TO_USD
31.12.1999;1.5907;0.99761;1.446;1.53083;1.92047;;102.26;8.0372;8.543
03.01.2000;1.56475;0.98493;1.4466;1.52053;1.91598;;101.585;7.954;8.44
04.01.2000;1.55545;0.97069;1.45205;1.51821;1.9017;;103.265;7.9303;8.363
05.01.2000;1.555;0.9674;1.4495;1.51974;1.92354;;104.295;7.9354;8.352
06.01.2000;1.5536;0.96628;1.4595;1.52345;1.93237;;105.325;7.9265;8.351
07.01.2000;1.56475;0.97191;1.4558;1.5285;1.93721;;105.365;7.9768;8.424
10.01.2000;1.5685;0.97418;1.4555;1.52279;1.93914;;105.115;8.009;8.449
11.01.2000;1.5585;0.97106;1.4578;1.52752;1.93537;;106.085;7.978;8.4136
12.01.2000;1.5629;0.97343;1.4543;1.51902;1.92671;;105.95;7.9926;8.4387
13.01.2000;1.5723;0.97352;1.4503;1.50236;1.90955;;106.09;7.9399;8.4223
14.01.2000;1.5925;0.98775;1.4496;1.50137;1.91943;;105.805;8.002;8.479
17.01.2000;1.5963;0.99177;1.4494;1.50274;1.92641;;104.84;8.0388;8.49
18.01.2000;1.5921;0.98922;1.4502;1.50901;1.93703;;105.69;8.0193;8.483
19.01.2000;1.5942;0.9902;1.4518;1.5046;1.93339;;105.33;8.0025;8.4933
20.01.2000;1.5835;0.99049;1.4467;1.50733;1.94387;;105.345;8.002;8.483
21.01.2000;1.5962;0.99305;1.4402;1.50682;1.94628;;104.73;8.0135;8.514
24.01.2000;1.6002;0.99771;1.4423;1.52523;1.96617;;105.665;8.027;8.533
25.01.2000;1.6115;0.99354;1.4367;1.52451;1.96206;;106.02;8.0135;8.484
26.01.2000;1.6103;0.9988;1.4387;1.52717;1.96281;;105.705;8.0668;8.534
27.01.2000;1.6323;1.01174;1.435;1.53098;1.96539;;105.165;8.1565;8.633
28.01.2000;1.64975;1.02051;1.4453;1.54233;2.01403;;107.12;8.2185;8.735
31.01.2000;1.6566;1.02208;1.44585;1.57268;2.02487;;107.4;8.2695;8.7935
01.02.2000;1.6562;1.02785;1.4482;1.57107;2.01763;;107.805;8.288;8.786
02.02.2000;1.6506;1.02859;1.4386;1.57326;2.04469;;108.16;8.2533;8.75
03.02.2000;1.62235;1.01605;1.4409;1.57837;2.03052;;107.6;8.1895;8.6327
04.02.2000;1.6345;1.02062;1.44;1.5783;2.02456;;107.2;8.2452;8.637
07.02.2000;1.6381;1.02229;1.4473;1.56691;2.0212;;108.685;8.2592;8.6615
08.02.2000;1.6313;1.01379;1.4452;1.57138;2.02584;;109.505;8.191;8.5866
09.02.2000;1.6179;1.0102;1.4451;1.574;2.02819;;108.745;8.1625;8.574
10.02.2000;1.6302;1.01482;1.4486;1.5806;2.02984;;109.215;8.1863;8.6051
11.02.2000;1.6263;1.01482;1.449;1.58902;2.03222;;108.8;8.183;8.587
14.02.2000;1.6429;1.0203;1.4564;1.5833;2.03751;;108.9;8.2359;8.6535
15.02.2000;1.6367;1.01678;1.4555;1.59341;2.05134;;109.175;8.2335;8.6745
16.02.2000;1.6258;1.01657;1.4529;1.58356;2.03897;;109.4;8.2395;8.6748
17.02.2000;1.6238;1.0142;1.4504;1.57462;2.03272;;110.66;8.2778;8.686
18.02.2000;1.627;1.01513;1.4511;1.58389;2.03168;;110.96;8.2515;8.671
21.02.2000;1.6233;1.01307;1.4555;1.59275;2.03937;;111.295;8.2815;8.68
22.02.2000;1.6022;0.99305;1.4615;1.59476;2.03972;;110.86;8.1345;8.512
23.02.2000;1.6065;0.99622;1.4605;1.60887;2.04957;;111.23;8.1528;8.561
24.02.2000;1.6203;1.00391;1.4553;1.61495;2.05411;;111.31;8.1828;8.5945
25.02.2000;1.6503;1.02166;1.4483;1.61308;2.04428;;110.34;8.2935;8.6975
28.02.2000;1.6533;1.03423;1.449;1.63137;2.06501;;109.495;8.3415;8.706
29.02.2000;1.6645;1.03864;1.4489;1.62835;2.05903;;110.23;8.3885;8.767
01.03.2000;1.6507;1.03295;1.4489;1.64712;2.061;;107.145;8.3453;8.7108
02.03.2000;1.6633;1.03487;1.4562;1.63683;2.03764;;107.78;8.365;8.758
03.03.2000;1.67375;1.03972;1.4512;1.64729;2.04994;;107.76;8.3937;8.816
06.03.2000;1.6766;1.04026;1.4528;1.65194;2.04962;;107.43;8.4033;8.785
07.03.2000;1.6748;1.04439;1.4549;1.65684;2.06982;;106.11;8.4365;8.799
08.03.2000;1.672;1.04471;1.4566;1.65262;2.0647;;107.225;8.4445;8.826
09.03.2000;1.6633;1.03199;1.457;1.63036;2.03666;;106.65;8.391;8.7397
10.03.2000;1.6714;1.03681;1.4581;1.6251;2.02429;;106.27;8.3945;8.73
13.03.2000;1.6705;1.03434;1.4613;1.6298;2.0284;;105.635;8.403;8.711
14.03.2000;1.6645;1.03864;1.465;1.61568;2.04082;;105.225;8.449;8.7159
15.03.2000;1.6665;1.03199;1.467;1.63179;2.04792;;105.655;8.4135;8.6938
16.03.2000;1.6593;1.02754;1.473;1.63051;2.05002;;105.54;8.3908;8.6673
17.03.2000;1.6585;1.03263;1.471;1.63982;2.06526;;106.715;8.425;8.6742
20.03.2000;1.65665;1.03146;1.4692;1.64806;2.06782;;106.425;8.4283;8.6745
21.03.2000;1.67245;1.02955;1.4702;1.63874;2.04082;;106.865;8.4165;8.648
22.03.2000;1.6736;1.04004;1.4698;1.64811;2.05044;;107.06;8.471;8.7103
23.03.2000;1.6455;1.0305;1.4695;1.65645;2.05212;;107.36;8.3735;8.6455
24.03.2000;1.62445;1.02923;1.4621;1.64897;2.0517;;106.88;8.363;8.592
27.03.2000;1.6435;1.03029;1.4575;1.62969;2.02429;;106.73;8.3605;8.581
28.03.2000;1.6558;1.03391;1.4537;1.6293;1.99045;;105.8;8.3615;8.546
29.03.2000;1.6759;1.04899;1.4568;1.63447;1.9996;;105.73;8.459;8.6409
30.03.2000;1.6575;1.04646;1.4546;1.64016;2.00682;;105.39;8.421;8.651
31.03.2000;1.66465;1.04504;1.4491;1.65551;2.01572;;102.8;8.4392;8.64
03.04.2000;1.6525;1.04559;1.4498;1.64743;2.002;;104.865;8.459;8.6766
04.04.2000;1.6394;1.04745;1.4525;1.66226;1.9988;;105.215;8.5005;8.71
05.04.2000;1.6365;1.03552;1.4506;1.65428;1.98807;;104.915;8.441;8.6114
